IAGA	Name	Country	Colatitute	East Longitude	Institute	GIN
IRT	Irkutsk	Russia	37.73	104.45	ISTP SB RAS	Edi
ISK*	Kandilli	Turkey	48.9	29.1	KEORI	Edi
IZN	Iznik	Turkey	49.5	29.72	KEORI	Edi
JAI	Jaipur	India	63.08	75.80	IIG	Kyo
JCO	Jim Carrigan Observatory	United States of America	19.644	211.201	HAL, BGS	Edi
KAK	Kakioka	Japan	53.77	140.18	JMA	Kyo
KDU	Kakadu	Australia	102.69	132.47	GA	Edi
KEP	King Edward Point	South Georgia and the South Sandwich Islands	144.2821	323.5071	BGS	Edi
KHB	Khabarovsk	Russia	42.39	134.69	IKIR	Edi
KIV	Kiev	Ukraine	39.28	30.3	NASU	Edi
KMH	Keetmanshoop	Namibia	116.54	18.110	SANSA, GFZ	Edi
KNY	Kanoya	Japan	58.58	130.88	JMA	Kyo
KOU	Kourou	French Guiana	84.79	307.27	IPGP	Par
LER	Lerwick	United Kingdom	29.87	358.82	BGS	Edi
LNP*	Lunping	Taiwan	65	121.2	DGT	Kyo
LON	Lonjsko Polje	Croatia	44.5919	16.6592	UNIZG	Edi
LOV*	Lovoe	Sweden	30.66	17.82	SGU	Edi
LRM	Learmonth	Australia	112.22	114.1	GA	Edi
LVV	Lviv	Ukraine	40.1	23.75	NASU	Edi
LYC	Lycksele	Sweden	25.4	18.8	SGU	Edi
LZH	Lanzhou	China	53.9	103.84	CEA, IPGP	Par
MAB	Manhay	Belgium	39.702	5.682	RMIB	Edi
MAW	Mawson	Antarctica	157.6	62.88	GA	Edi
MBC*	Mould Bay	Canada	13.685	240.638	GSC	Ott
MBO	Mbour	Senegal	75.62	343.03	IPGP, IRD	Par
MCQ	Macquarie Island	Australia	144.5	158.95	GA	Edi
MEA	Meanook	Canada	35.384	246.653	GSC	Ott
MGD	Magadan	Russia	29.949	150.728	IKIR	Edi
MID*	Midway Island	United States of America	61.79	182.62	USGS	Gol
MMB	Memambetsu	Japan	46.09	144.19	JMA	Kyo
NAQ	Narsarsuaq	Greenland	28.84	314.558	DTU	Kyo
NCK	Nagycenk	Hungary	42.37	16.72	HAS	Edi
NEW	Newport	United States of America	41.73	242.88	USGS	Gol
NGK	Niemegk	Germany	37.93	12.68	GFZ	Edi
NUR	Nurmijarvi	Finland	29.49	24.66	FMI	Edi
NVS	Novosibirsk	Russia	35.15	83.23	ASB GS SB RAS	Edi
ORC	Orcadas	Argentina	150.737	315.26	SMN	Edi
OTT	Ottawa	Canada	44.597	284.448	GSC	Ott
PAF	Port-aux-Francais	French Southern and Antarctic Lands	139.35	70.26	EOST	Par
PAG	Panagjurishte	Bulgaria	47.5	24.2	NIGGG-BAS, GFZ	Edi
PBQ*	Poste-de-la-Baleine	Canada	34.723	282.255	GSC	Ott
PEG	Pedeli	Greece	51.9	23.9	IGME	Edi
PET	Paratunka	Russia	37.029	158.248	IKIR	Edi
PHU	Phuthuy	Vietnam	68.97	105.95	VAST, IPGP	Par
PIL	Pilar	Argentina	121.4	296.12	SMN	Edi
PPT	Pamatai	French Polynesia	107.57	210.42	IPGP	Par
PST	Port Stanley	Falkland Islands	141.7	302.11	BGS	Edi
QSB*	Qsaybeh	Lebanon	56.1	35.6	NCGR, IPGP	Par
RES	Resolute Bay	Canada	15.31	265.105	GSC	Ott
SBA	Scott Base	Antarctica	167.85	166.78	GNS	Edi
SBL	Sable Island	Canada	46.0679	299.9905	BGS	Edi
SFS	San Fernando	Spain	53.333	354.055	RIOA	Par
SHU	Shumagin	United States of America	34.65	199.54	USGS	Gol
SIT	Sitka	United States of America	32.94	224.67	USGS	Gol
SJG	San Juan	United States of America	71.89	293.85	USGS	Gol
SOD	Sodankyla	Finland	22.63	26.63	SOD	Edi
SON	Sonmiani	Pakistan	64.8832	66.4487	SUPARCO	Edi
SPG	Saint Petersburg	Russia	29.458	29.716	GCRAS	Par
SPT	San Pablo-Toledo	Spain	50.45	355.65	IGNS	Par
STJ	St John's	Canada	42.405	307.323	GSC	Ott
SUA	Surlari	Romania	45.32	26.25	GIR, GFZ	Par
TAM	Tamanrasset	Algeria	67.21	5.53	CRAAG, IPGP	Par
TAN*	Antananarivo	Madagascar	108.917	47.552	IOGA, EOST	Par
TDC	Tristan da Cunha	Tristan da Cunha	127.067	347.685	GFZ, DTU	Kyo
TEO*	Teoloyucan	Mexico	70.25	260.81	IG/UNAM	Edi
THL	Qaanaaq (Thule)	Greenland	12.53	290.773	DTU	Kyo
THY	Tihany	Hungary	43.1	17.89	MFGI	Edi
TIK*	Tixie Bay	Russia	18.4	129.0	IZMIRAN	NA
TRW	Trelew	Argentina	133.3	294.7	UNLP, RMIB	Edi
TSU	Tsumeb	Namibia	109.202	17.584	SANSA	Edi
TUC	Tucson	United States of America	57.82	249.27	USGS	Gol
UPS	Uppsala	Sweden	30.097	17.353	SGU	Edi
VAL	Valentia	Ireland	38.067	349.75	IMS	Edi
VIC	Victoria	Canada	41.48	236.580	GSC	Ott
VNA	Neumayer Station Ⅲ	Antarctica	160.683	-8.283	AWI, GFZ	Kyo
VOS	Vostok	Antarctica	168.464	106.835	AARI	Kyo
VSS	Vassouras	Brazil	112.4	316.35	ON, GFZ	Par
WIC	Conrad Observatory	Austria	42.0695	15.8657	ZAMG	Edi
WMQ	Urumqi	China	46.19	87.71	CEA	Edi
WNG	Wingst	Germany	36.26	9.07	GFZ	Edi
YAK	Yakutsk	Russia	28.04	129.66	IKFIA, GFZ	Edi
YKC	Yellowknife	Canada	27.52	245.518	GSC	Ott
